story_num,user_story,plantuml
11,"As a DigitalRecords Archivist, I want to expose the descriptive record for each ETD item for re-use external to Fedora.","@startuml 
digitalrecord_archivist->etd_item:expose descriptive_record use fedora 
@enduml"
12,"As an archivist, I want to link electronic versions of researchers' publications to citations, so that I can share them with other researchers.","@startuml 
archivist->researcher_publication:link electronic_version citations 
archivist->System:share them other_researcher 
@enduml"
13,"As a DAMS manager, I want to know when permitted and restricted acts and/or their active dates are modified.","@startuml 
dam_manager->System:know 
@enduml"
14,"As a manager, I want to display orders by date.","@startuml 
manager->System:display orders date 
@enduml"
15,"As a DAMS manager, I want to indicate to preservation managers aspects of a master file useful for monitoring its integrity, and impending obsolescence, including file size, creation date, file format and format version.","@startuml 
dam_manager->file_size_creation:indicate preservation integrity 
@enduml"
16,"As a Zooniverse admin, I want to detect important features such as areas of flooding, damage, temporary shelters, blocked roads etc in the satellite images.","@startuml 
zooniverse_admin->area:detect important_feature 
@enduml"
17,"As a Consumer, I want to load a Data Package from R, so that that I can immediately start playing with it.","@startuml 
consumer->System:load datum_package r 
consumer->System:start it 
@enduml"
18,"As a patron, I want to email system provider to report issues and ask questions.","@startuml 
patron->System:system_provider issues questions 
@enduml"
19,"As an ethics manager, I want to be informed about the data, so that I can check for sensitivity of data.","@startuml 
ethics_manager->System:informed data 
ethics_manager->datum:check sensitivity 
@enduml"
20,"As a repository manager, I want to indicate names related to the collection either as creator, source, or subject.","@startuml 
repository_manager->System:indicate names collection creator_source 
@enduml"
