model,story_id,user_story,plantuml
azure/gpt-4.1,24,"As a MedicalCaregiver, I want to locate the ALFRED user.","@startuml
actor MedicalCaregiver
participant ""ALFRED System"" as ALFRED
database ""UserLocationDB"" as LocationDB

MedicalCaregiver -> ALFRED: Request User Location
ALFRED -> ALFRED: Validate Caregiver Access
ALFRED -> LocationDB: Query User Location
LocationDB --> ALFRED: Return Location Data
ALFRED --> MedicalCaregiver: Provide User Location

@enduml"
azure/gpt-4.1,26,"As a library staff member, I want to be able to assign an item to more than one collection.","@startuml
actor LibraryStaff
database LibraryDatabase
participant ItemManager
participant CollectionManager

LibraryStaff -> ItemManager: Select item to assign
ItemManager -> CollectionManager: Display available collections
LibraryStaff -> CollectionManager: Select multiple collections for item assignment
CollectionManager -> ItemManager: Confirm selected collections
ItemManager -> LibraryDatabase: Assign item to selected collections
LibraryDatabase --> ItemManager: Confirmation of assignment
ItemManager --> LibraryStaff: Notify assignment success

@enduml"
azure/gpt-4.1,28,"As a repository manager, I want to indicate any name that is pertinent to the component.","@startuml
repository_manager->System: indicate pertinent name to component
@enduml"
azure/gpt-4.1,30,"As a library member, I want to keep track of books from an app so that I can know if it is taken or in the library before I go.","@startuml
actor LibraryMember
participant LibraryApp
database LibraryDatabase

LibraryMember -> LibraryApp: Check book availability (book info)
LibraryApp -> LibraryDatabase: Query book status (book info)
LibraryDatabase --> LibraryApp: Return book status (available/taken)
LibraryApp --> LibraryMember: Display book status

@enduml"
azure/gpt-4.1,32,"As a restaurant employee, I want to receive a notification message when the customer places an order.","@startuml
actor Customer
participant ""OrderSystem"" as OS
participant ""RestaurantEmployee"" as Employee
participant ""NotificationService"" as Notif

Customer -> OS: Place order
OS --> Customer: Confirm order placed

OS -> Notif: Send order notification
Notif -> Employee: Deliver notification message
Employee --> Notif: Acknowledge receipt

@enduml"
azure/gpt-4.1,34,"As a student, I want to see the books that are currently unavailable so that I can arrange my reading plan.","@startuml
actor Student
database LibraryDatabase
participant BookCatalog

Student -> BookCatalog: Request list of unavailable books
BookCatalog -> LibraryDatabase: Query unavailable books
LibraryDatabase --> BookCatalog: Return unavailable books data
BookCatalog --> Student: Show unavailable books list
@enduml"
azure/gpt-4.1,37,"As a DAMS manager, I want to know the agent(s) responsible for carrying out an event.","@startuml
dam_manager->System: know agent(s) responsible for event
@enduml"
azure/gpt-4.1,39,"As a Developer I want to quickly access Broker application data, so that I can investigate issues.","@startuml
actor Developer
participant ""Broker Application"" as BrokerApp
database Database

Developer -> BrokerApp: Request application data
BrokerApp -> BrokerApp: Validate request
BrokerApp -> Database: Query application data
Database --> BrokerApp: Return data
BrokerApp --> Developer: Provide application data

@enduml"
azure/gpt-4.1,41,"As an agency user, I want to submit my data elements surrounded by quotation marks, so that Excel won't strip off leading and trailing zeroes.","@startuml
actor AgencyUser
participant System
participant Excel

AgencyUser -> System: Input Data Elements
System -> System: Add Quotation Marks to Data Elements
System -> AgencyUser: Display Preview with Quotation Marks

AgencyUser -> System: Submit Data for Export

System -> System: Prepare Export File (CSV)
System -> Excel: Export Data File

Excel -> System: Import Data with Quotation Marks Preserved
System -> AgencyUser: Notify Successful Export

@enduml"
azure/gpt-4.1,44,"As an admin, I want to handle all users' activities, so that I can manage more efficiently.","@startuml
actor Admin
participant UserManagementSystem
database ActivityDatabase

Admin -> UserManagementSystem: Request all users' activity logs
UserManagementSystem -> ActivityDatabase: Fetch all users' activities
ActivityDatabase --> UserManagementSystem: Return activities data
UserManagementSystem --> Admin: Display users' activities for management

activate Admin
deactivate Admin

@enduml"
azure/gpt-4.1,47,"As an employee, I want to access the route planning system during work, so that I can be guided through the neighbourhood.","@startuml
actor Employee
participant RoutePlanningSystem
participant NavigationService

Employee -> RoutePlanningSystem: Request route guidance
RoutePlanningSystem -> NavigationService: Fetch optimal route for neighbourhood
NavigationService --> RoutePlanningSystem: Return route details
RoutePlanningSystem --> Employee: Display step-by-step guidance

activate Employee
deactivate Employee

@enduml"
azure/gpt-4.1,51,"As a librarian, I want to delete books from the library.","@startuml
actor Librarian
database LibraryDatabase
participant BookManager

Librarian -> BookManager: Request to delete book
BookManager -> LibraryDatabase: Delete book record
LibraryDatabase --> BookManager: Confirmation of deletion
BookManager --> Librarian: Notify book deletion success
@enduml"
azure/gpt-4.1,53,"As an OlderPerson, I want to be able to see my training Performance.","@startuml
actor OlderPerson
participant TrainingApp
database PerformanceDatabase

OlderPerson -> TrainingApp: Request training performance data
TrainingApp -> PerformanceDatabase: Fetch performance records for OlderPerson
PerformanceDatabase --> TrainingApp: Return performance data
TrainingApp --> OlderPerson: Display training performance

activate OlderPerson
deactivate OlderPerson

@enduml"
azure/gpt-4.1,55,"As an Agency user, I want to be able to include a large number of flexfields without performance impact.","@startuml
actor AgencyUser
participant FlexfieldManager
database FlexfieldDatabase
participant PerformanceMonitor

AgencyUser -> FlexfieldManager: Add large number of flexfields
FlexfieldManager -> PerformanceMonitor: Check system performance
PerformanceMonitor --> FlexfieldManager: Performance OK

FlexfieldManager -> FlexfieldDatabase: Store flexfields in batches
FlexfieldDatabase --> FlexfieldManager: Confirm batch storage

FlexfieldManager --> AgencyUser: Confirm flexfields added without performance impact
@enduml"
azure/gpt-4.1,57,"As a moderator, I want to enter the agreed-upon estimate, so that we can move on to the next item when we agree.","@startuml
actor Moderator
participant EstimateEntrySystem
database EstimateDatabase
participant ItemManager

Moderator -> EstimateEntrySystem: Enter agreed-upon estimate
EstimateEntrySystem -> EstimateDatabase: Store estimate
EstimateDatabase --> EstimateEntrySystem: Confirm storage

EstimateEntrySystem -> ItemManager: Notify to move to next item
ItemManager --> Moderator: Present next item

@enduml"
azure/gpt-4.1,59,"As a researcher, I want to record research publications in the institutional repository or CRIS with DMP records, so that I can generate reports of research output resulting from a project.","@startuml
actor Researcher
database InstitutionalRepository
database CRIS
participant DMPSystem
participant ReportGenerator

Researcher -> InstitutionalRepository: Record new publication
InstitutionalRepository --> Researcher: Confirmation of publication recorded

Researcher -> CRIS: Record new publication
CRIS --> Researcher: Confirmation of publication recorded

Researcher -> DMPSystem: Associate publication with DMP record
DMPSystem --> Researcher: Confirmation of association

Researcher -> ReportGenerator: Generate research output report for a project
ReportGenerator --> DMPSystem: Retrieve associated DMP records
DMPSystem --> ReportGenerator: Provide associated DMP records
ReportGenerator --> InstitutionalRepository: Retrieve recorded publications
InstitutionalRepository --> ReportGenerator: Provide recorded publications
ReportGenerator --> CRIS: Retrieve recorded publications
CRIS --> ReportGenerator: Provide recorded publications
ReportGenerator --> Researcher: Generate and present research output report
@enduml"
azure/gpt-4.1,61,"As a attendee, I want to get detailed directions to the summit venue, so that I can get to the summit easily on the day of the event.","@startuml
actor Attendee
participant ""EventApp"" as EventApp
database ""VenueDatabase"" as VenueDatabase
participant ""MapService"" as MapService

Attendee -> EventApp: Request directions to summit venue
EventApp -> VenueDatabase: Get summit venue location
VenueDatabase --> EventApp: Provide venue location details
EventApp -> MapService: Request detailed directions to venue
MapService --> EventApp: Return directions
EventApp --> Attendee: Show detailed directions

activate Attendee
deactivate Attendee

@enduml"
azure/gpt-4.1,63,"As a sponsor, I want to post a job, so that I can hire top-tier Drupal talent.","@startuml
sponsor->System:post job
@enduml"
azure/gpt-4.1,65,"As a moderator, I want to export a transcript of a game as a CSV file, so that I can further process the stories and estimates.","@startuml
moderator->game:export_transcript
game->System:generate_CSV_file
System->moderator:provide_CSV_file
@enduml"
azure/gpt-4.1,69,"As a repoadmin, I want to have Symplectic Elements to communicate","@startuml
actor RepoAdmin
participant SymplecticElements as SE
participant SystemIntegrator
participant Repository

RepoAdmin -> SystemIntegrator: Configure Symplectic Elements integration
SystemIntegrator --> RepoAdmin: Integration configured

activate RepoAdmin

RepoAdmin -> SE: Initiate communication setup
SE --> RepoAdmin: Provide connection parameters

RepoAdmin -> Repository: Provide Symplectic Elements connection info
Repository --> RepoAdmin: Connection info saved

activate SE
activate Repository

SE -> Repository: Send metadata or deposit request
Repository --> SE: Acknowledge request

SE -> Repository: Transfer data (e.g., publication record)
Repository --> SE: Confirm data receipt

deactivate SE
deactivate Repository

deactivate RepoAdmin
@enduml"
azure/gpt-4.1,71,"As a researcher, I want the DMP to prepopulate information that I have already entered in other institutional systems, so that I do not have to re-enter information ensuring the DMP contains accurate and standardized information.","@startuml
actor Researcher
participant DMPSystem
database InstitutionalRepository
database CRIS
database HRSystem

Researcher -> DMPSystem: Create new DMP record
DMPSystem -> InstitutionalRepository: Retrieve research project data
InstitutionalRepository --> DMPSystem: Provide project data

DMPSystem -> CRIS: Retrieve publication and funding data
CRIS --> DMPSystem: Provide publication and funding data

DMPSystem -> HRSystem: Retrieve researcher profile and affiliation data
HRSystem --> DMPSystem: Provide profile and affiliation data

DMPSystem -> Researcher: Prepopulate DMP form with retrieved data
Researcher -> DMPSystem: Review and confirm prepopulated information
DMPSystem --> Researcher: Confirmation of DMP record creation

@enduml"
azure/gpt-4.1,73,"As an OlderPerson, I want to have ALFRED to set limits in the games duration as I get bored easily.","@startuml
actor OlderPerson
actor ALFRED
participant Game
database Settings

OlderPerson -> ALFRED: Set Game Duration Limit
ALFRED -> Settings: Save Duration Limit
Settings --> ALFRED: Confirm Saved

OlderPerson -> ALFRED: Start Game
ALFRED -> Game: Launch Game with Duration Limit

Game -> ALFRED: Notify End of Duration
ALFRED -> OlderPerson: Inform Game Session Ended

@enduml"
azure/gpt-4.1,77,"As a manager, I want to save the menu each month.","@startuml
manager->System:save menu month
@enduml"
azure/gpt-4.1,79,"As an Archivist, I want to upload an EAD for import from within the frontend application.","@startuml
archivist->frontend_application: upload EAD for import
frontend_application->ead_import_service: import EAD
@enduml"
azure/gpt-4.1,81,"As a PI, I want to plan what kind of data I want to record/store, so that I can ensure it will possible to store it.","@startuml
pi->data_planner:plan data types to record/store
data_planner->storage_system:evaluate storage feasibility
@enduml"
azure/gpt-4.1,83,"As a member, I want to remove reservations so that I can cancel my reservation anytime I want.","@startuml
actor Member
participant ReservationSystem
database ReservationDatabase

Member -> ReservationSystem: Request to cancel reservation
ReservationSystem -> ReservationDatabase: Remove reservation entry
ReservationDatabase --> ReservationSystem: Confirm removal
ReservationSystem --> Member: Notify cancellation success

activate Member
deactivate Member

@enduml"
azure/gpt-4.1,85,"As a librarian, I want to update pages for book information.","@startuml
actor Librarian
participant BookInfoPage
database LibraryDatabase

Librarian -> BookInfoPage: Request to update book information
BookInfoPage -> Librarian: Display current book information

Librarian -> BookInfoPage: Submit updated book information
BookInfoPage -> LibraryDatabase: Update book information
LibraryDatabase --> BookInfoPage: Confirm update

BookInfoPage -> Librarian: Show update confirmation

@enduml"
azure/gpt-4.1,87,"As a user, I want frontend changes for managing enum lists.","@startuml
actor User
participant Frontend
participant Backend
database EnumDatabase

User -> Frontend: Request to view/manage enum lists
Frontend -> Backend: Fetch current enum lists
Backend -> EnumDatabase: Query enum lists
EnumDatabase --> Backend: Return enum lists
Backend --> Frontend: Send enum lists data
Frontend --> User: Display enum lists

User -> Frontend: Add/Update/Delete enum value
Frontend -> Backend: Submit enum list changes
Backend -> EnumDatabase: Update enum lists
EnumDatabase --> Backend: Confirmation of update
Backend --> Frontend: Update result/status
Frontend --> User: Show updated enum lists/status
@enduml"
azure/gpt-4.1,89,"As an admin, I want to automatically validated the ingested contents for copyright infringement.","@startuml
actor Admin
participant IngestionSystem
participant CopyrightValidator
participant User

Admin -> IngestionSystem: Configure automatic copyright validation

activate Admin

Admin -> User: Allow user to initiate content ingestion

User -> IngestionSystem: Submit content for ingestion

activate IngestionSystem

IngestionSystem -> CopyrightValidator: Validate content for copyright infringement

activate CopyrightValidator

alt Content passes validation
    CopyrightValidator --> IngestionSystem: Validation successful
    IngestionSystem -> User: Ingestion completed
else Content fails validation
    CopyrightValidator --> IngestionSystem: Infringement detected
    IngestionSystem -> User: Ingestion rejected due to copyright violation
end

deactivate CopyrightValidator
deactivate IngestionSystem
deactivate Admin
@enduml"
azure/gpt-4.1,91,"As a manager, I want to delete library members.","@startuml
actor Manager
database LibraryDatabase
participant MemberManager

Manager -> MemberManager: Request to delete library member
MemberManager -> LibraryDatabase: Delete member record
LibraryDatabase --> MemberManager: Confirmation of deletion
MemberManager --> Manager: Notify deletion success
@enduml"
azure/gpt-4.1,93,"As a user, I want to link my email account to my profile, so that I can get a temporary password in case I forget my own one.","@startuml
user->System:link email account to profile
System->user:confirmation of email link
user->System:request temporary password
System->user:send temporary password to linked email
@enduml"
azure/gpt-4.1,95,"As a chef, I want to update the ingredients of the menu items.","@startuml
actor Chef
database MenuDatabase
participant IngredientManager

Chef -> MenuDatabase: Select menu item to update
MenuDatabase --> Chef: Display current ingredients

Chef -> IngredientManager: Modify ingredients (add/remove/update)
IngredientManager --> Chef: Confirm ingredient changes

Chef -> MenuDatabase: Save updated ingredients for menu item
MenuDatabase --> Chef: Confirm menu item update

@enduml"
azure/gpt-4.1,97,"As a user, I want to choose a flexible pick up time, so that I can more conveniently use the website.","@startuml
actor User
participant ""Website UI"" as UI
participant ""Pickup Scheduler"" as Scheduler
database ""Pickup Database"" as DB

User -> UI: Select flexible pick up option
UI -> User: Show available pick up time slots
User -> UI: Choose preferred pick up time
UI -> Scheduler: Submit pick up time request
Scheduler -> DB: Save flexible pick up time
DB --> Scheduler: Confirm pick up time saved
Scheduler -> UI: Confirm scheduling to user
UI -> User: Display confirmation

@enduml"
azure/gpt-4.1,101,"As an archivist, I want to upload a single file.","@startuml
actor Archivist
participant FileUploader
database ArchiveDatabase

Archivist -> FileUploader: Upload single file
FileUploader -> ArchiveDatabase: Store file
ArchiveDatabase --> FileUploader: Confirmation of storage
FileUploader --> Archivist: Notify upload success

@enduml"
azure/gpt-4.1,103,"As a librarian, I want to create information about borrowed books.","@startuml
librarian->System:create borrowed_book_information
@enduml"
azure/gpt-4.1,105,"As a Staff, I want to edit book, so that I can correct book records those are faulty.","@startuml
actor Staff
participant ""LibrarySystem"" as LibrarySystem
database ""LibraryDatabase"" as LibraryDatabase

Staff -> LibrarySystem: Request to edit book (book ID)
LibrarySystem -> LibraryDatabase: Fetch book details (book ID)
LibraryDatabase --> LibrarySystem: Return book details

Staff -> LibrarySystem: Submit edited book details
LibrarySystem -> LibraryDatabase: Update book record
LibraryDatabase --> LibrarySystem: Confirm update

LibrarySystem --> Staff: Acknowledge successful edit

@enduml"
azure/gpt-4.1,108,"As an archivist, I want to access metadata and visual representations of index cards, so that I can use that information to assist researchers.","@startuml
archivist->System:access index_card_metadata
System->archivist:provide index_card_metadata
archivist->System:request visual_representation index_card
System->archivist:provide visual_representation
@enduml"
azure/gpt-4.1,111,"As a user, I want to be able to give my email ID, so that I can receive notifications for new events as they are posted.","@startuml
user->System: provide email ID
System->user: confirm subscription
System->user: send notification for new event
@enduml"
azure/gpt-4.1,114,"As a research participant, I want to make sure that the appearance of the prototype does not distract from the workflow, so that I can complete the user interview.","@startuml
actor ResearchParticipant
participant Prototype
participant Interviewer

ResearchParticipant -> Prototype: Interact with prototype during interview
Prototype --> ResearchParticipant: Display workflow interface

activate ResearchParticipant

ResearchParticipant -> Interviewer: Provide feedback on prototype appearance
Interviewer -> Prototype: Adjust appearance to minimize distractions
Prototype --> Interviewer: Confirm appearance adjustments

Interviewer --> ResearchParticipant: Ensure prototype appearance is non-distracting

deactivate ResearchParticipant
@enduml"
azure/gpt-4.1,116,"As a member, I want to calculate the fine for delayed returns by automatically.","@startuml
actor Member
participant ""ReturnSystem""
database ""LoanDatabase""
participant ""FineCalculator""

Member -> ReturnSystem: Request fine calculation for delayed return
ReturnSystem -> LoanDatabase: Get return and due dates for member
LoanDatabase --> ReturnSystem: Return loan and due date information
ReturnSystem -> FineCalculator: Calculate fine based on delay
FineCalculator --> ReturnSystem: Return calculated fine amount
ReturnSystem --> Member: Display fine amount

@enduml"
azure/gpt-4.1,118,"As a cook, I want to mark items unavailable, so that Waiter can inform customers.","@startuml
actor Cook
actor Waiter
database InventorySystem

Cook -> InventorySystem: Mark item as unavailable
InventorySystem --> Cook: Confirm item marked unavailable

InventorySystem -> Waiter: Notify item is unavailable
Waiter --> InventorySystem: Acknowledge notification

@enduml"
azure/gpt-4.1,121,"As an Archivist, I want to create and edit Agent records.","@startuml
archivist->System:create Agent_record
archivist->System:edit Agent_record
@enduml"
azure/gpt-4.1,123,"As an Archivist, I want to create and edit Event records.","@startuml
archivist->System:create event_record
archivist->System:edit event_record
@enduml"
azure/gpt-4.1,125,"As an app developer, I want to share a dataset type that I had previously deployed as part of an app.","@startuml
app_developer->App:System:select deployed dataset type
app_developer->App:System:choose share option
app_developer->App:System:share dataset type
@enduml"
azure/gpt-4.1,127,"As a manager, I want to keep track of resources available so that I can manage inventory.","@startuml
manager->System: track available resources
@enduml"
azure/gpt-4.1,130,"As a depositor, I want to specify a disposal policy for my data, so that I do not accidentally breach laws or collaboration agreements.","@startuml
actor Depositor
participant DepositForm
participant PolicyManager
participant Repository

Depositor -> DepositForm: Initiate new data deposit

activate Depositor
activate DepositForm

DepositForm -> PolicyManager: Request available disposal policies
PolicyManager --> DepositForm: Return list of disposal policies

DepositForm -> Depositor: Present disposal policy options
Depositor --> DepositForm: Select disposal policy

DepositForm -> PolicyManager: Validate selected disposal policy
PolicyManager --> DepositForm: Policy validation result

alt Policy valid
    DepositForm -> Repository: Submit deposit with selected policy
    Repository --> DepositForm: Deposit accepted
    DepositForm --> Depositor: Confirm deposit and policy
else Policy invalid
    DepositForm --> Depositor: Show validation error
end

deactivate DepositForm
deactivate Depositor
@enduml"
azure/gpt-4.1,132,"As a Zooniverse admin, I want to know when I should educate a volunteer.","@startuml
zooniverse_admin->system:check volunteer_performance
system->zooniverse_admin:notify education_needed
@enduml"
azure/gpt-4.1,134,"As a repository manager, I want to see a display of recent errors deduplicated for easy comprehension like Symplectic Elements provides.","@startuml
repository_manager->System: request recent errors display
System->ErrorService: fetch recent errors
ErrorService->Database: query errors
Database-->ErrorService: return error records
ErrorService->ErrorService: deduplicate errors
ErrorService-->System: return deduplicated recent errors
System-->repository_manager: display deduplicated errors
@enduml"
azure/gpt-4.1,142,"As a researcher I want clear citation information on each document, so that I can cite accurately in a publication.","@startuml
researcher->System:request citation_information document
System->document:retrieve citation_information
document->System:provide citation_information
System->researcher:display citation_information
@enduml"
azure/gpt-4.1,144,"As a manager, I want to track which employees sell the most number of products so that I can increase their salary.","@startuml
manager->System:track top selling employees
System->Database:get employees' sales data
Database-->System:return sales data
System->manager:display top employees by products sold
@enduml"
azure/gpt-4.1,148,"As a librarian, I want to add new books to book list.","@startuml
actor Librarian
participant BookListManager
database LibraryDatabase

Librarian -> BookListManager: Add new book details
BookListManager -> LibraryDatabase: Store new book information
LibraryDatabase --> BookListManager: Confirm book added
BookListManager --> Librarian: Notify book added successfully

@enduml"
azure/gpt-4.1,150,"As an OlderPerson, I want to use ALFRED to control the TV and radio.","@startuml
actor OlderPerson
actor ALFRED
participant TV
participant Radio

OlderPerson -> ALFRED: Request to control TV/Radio
ALFRED -> ALFRED: Interpret command
alt Control TV
    ALFRED -> TV: Send control command
    TV --> ALFRED: Acknowledge action
else Control Radio
    ALFRED -> Radio: Send control command
    Radio --> ALFRED: Acknowledge action
end
ALFRED --> OlderPerson: Confirm action performed

@enduml"
azure/gpt-4.1,152,"As a Staff member, I want to Manage Bonds, so that I can track and manage bonds throughout the lifecycle of the project until release.","@startuml
staff_member->System:manageBonds
System->Bond:trackLifecycle
System->Bond:manageBondStatus
System->staff_member:confirmBondManagement
@enduml"
