story_num,user_story,plantuml
12,"As an API User, I want to be able to use data to get results from multiple datasets, So that I can build user experiences based on more than one dataset more easily.","@startuml
actor APIUser
actor System
database Dataset1
database Dataset2

APIUser -> System: Request Data from Multiple Datasets
System -> Dataset1: Retrieve Data from Dataset1
Dataset1 --> System: Return Data from Dataset1
System -> Dataset2: Retrieve Data from Dataset2
Dataset2 --> System: Return Data from Dataset2
System --> APIUser: Return Combined Results

@enduml
"
13,"As an API User, I want to be able to use data to get results from multiple datasets, So that I can build user experiences based on more than one dataset more easily.","@startuml 
api_user->System:able data results multiple_dataset 
api_user->System:build user_experience dataset 
@enduml"
14,"As a customer, I want to be able to pay the bill partially","@startuml
actor Customer
actor System
database BillingSystem

Customer -> System: Initiate Partial Payment
System -> BillingSystem: Retrieve Bill Details
BillingSystem --> System: Return Bill Details
System -> Customer: Display Bill Details

activate Customer

Customer -> System: Enter Partial Payment Amount
System -> BillingSystem: Process Partial Payment
BillingSystem --> System: Confirmation
System -> Customer: Display Payment Confirmation

deactivate Customer

@enduml
"
15,"As a customer, I want to be able to pay the bill partially","@startuml 
customer->System:able bill 
@enduml"
16,"As a cook, I want to have employee data on the system including clock in and out information.","@startuml
actor Cook
actor System
database EmployeeDatabase

Cook -> System: Log In
System -> System: Authenticate Cook
System -> EmployeeDatabase: Retrieve Employee Data
EmployeeDatabase --> System: Return Employee Data
System -> Cook: Display Employee Data

activate Cook

Cook -> System: Clock In
System -> EmployeeDatabase: Update Clock In Information
EmployeeDatabase --> System: Confirmation
System -> Cook: Display Clock In Confirmation

Cook -> System: Clock Out
System -> EmployeeDatabase: Update Clock Out Information
EmployeeDatabase --> System: Confirmation
System -> Cook: Display Clock Out Confirmation

deactivate Cook

@enduml
"
17,"As a cook, I want to have employee data on the system including clock in and out information.","@startuml 
cook->information:have employee_datum system 
@enduml"
18,"As a Plan Review Staff member, I want to Review Plans, so that I can review them for compliance and either approve, or fail or deny the plans and record any conditions, clearances, or corrections needed from the Applicant.","@startuml
actor PlanReviewStaff
actor System
actor Applicant

PlanReviewStaff -> System: Log In
System -> System: Authenticate Plan Review Staff
System -> PlanReviewStaff: Provide Access

activate PlanReviewStaff

PlanReviewStaff -> System: Retrieve Plans for Review
System -> System: Fetch Plan Details
System -> PlanReviewStaff: Display Plan Details

loop until review complete
    PlanReviewStaff -> System: Review Plan Compliance
    System -> PlanReviewStaff: Provide Review Feedback

    alt Approval
        PlanReviewStaff -> System: Approve Plan
        System -> System: Record Approval
    else Denial
        PlanReviewStaff -> System: Deny Plan
        System -> System: Record Denial
        PlanReviewStaff -> Applicant: Notify Conditions, Clearances, or Corrections Needed
    end

end

deactivate PlanReviewStaff

@enduml
"
19,"As a Plan Review Staff member, I want to Review Plans, so that I can review them for compliance and either approve, or fail or deny the plans and record any conditions, clearances, or corrections needed from the Applicant.","@startuml 
plan_review_staff_member->System:plans 
plan_review_staff_member->System:review them compliance plans condition_clearance applicant 
@enduml"
20,"As a patron, I want to know previous name(s) and publication date range (first version-last version) of reports/datasets, so that I can know what historical versions are available and how current more recent version is.","@startuml
actor Patron
actor System
database ReportsDatabase

Patron -> System: Log In
System -> System: Authenticate Patron
System -> ReportsDatabase: Retrieve Report/Dataset History
ReportsDatabase --> System: Return History Information
System -> Patron: Display Report/Dataset History

@enduml
"
21,"As a patron, I want to know previous name(s) and publication date range (first version-last version) of reports/datasets, so that I can know what historical versions are available and how current more recent version is.","@startuml 
patron->report_dataset:know previous_name 
patron->System:know 
@enduml"
22,"As a user, I want to scope my searches for collections, objects, or object components to a specific language.","@startuml
actor User
actor System
database SearchDatabase

User -> System: Log In
System -> System: Authenticate User
System -> User: Provide Access

activate User

User -> System: Set Search Language
System -> System: Save Language Preference

loop until search is complete
    User -> System: Enter Search Query
    System -> SearchDatabase: Search in Selected Language
    SearchDatabase --> System: Return Search Results
    System -> User: Display Search Results
end

deactivate User

@enduml
"
23,"As a user, I want to scope my searches for collections, objects, or object components to a specific language.","@startuml 
user->collection_object:scope searches specific_language 
@enduml"
24,"As a MedicalCaregiver, I want to locate the ALFRED user.","@startuml
actor MedicalCaregiver
actor System
actor ALFRED

MedicalCaregiver -> System: Log In
System -> System: Authenticate Medical Caregiver
System -> ALFRED: Locate User
ALFRED --> System: Return User Location
System -> MedicalCaregiver: Display User Location

@enduml
"
25,"As a MedicalCaregiver, I want to locate the ALFRED user.","@startuml 
medicalcaregiver->System:locate alfred_user 
@enduml"
26,"As a library staff member, I want to be able to assign an item to more than one collection.","@startuml
actor LibraryStaff
actor System
database LibraryDatabase

LibraryStaff -> System: Log In
System -> System: Authenticate LibraryStaff
System -> LibraryStaff: Provide Access

activate LibraryStaff

LibraryStaff -> System: Select Item to Assign
System -> LibraryDatabase: Retrieve Item Details
LibraryDatabase --> System: Return Item Details
System -> LibraryStaff: Display Item Details

LibraryStaff -> System: Select Collections
System -> System: Retrieve Available Collections
System -> LibraryStaff: Display Available Collections

loop until assignment complete
    LibraryStaff -> System: Assign Item to Collection
    System -> LibraryDatabase: Update Collection Assignment
    LibraryDatabase --> System: Confirmation
    System -> LibraryStaff: Display Assignment Confirmation
end

deactivate LibraryStaff

@enduml
"
27,"As a library staff member, I want to be able to assign an item to more than one collection.","@startuml 
library_staff_member->System:able item collection 
@enduml"
28,"As a repository manager, I want to indicate any name that is pertinent to the component.","@startuml
actor RepositoryManager
actor System
database RepositoryDatabase

RepositoryManager -> System: Log In
System -> System: Authenticate RepositoryManager
System -> RepositoryManager: Provide Access

activate RepositoryManager

RepositoryManager -> System: Select Component
System -> RepositoryDatabase: Retrieve Component Details
RepositoryDatabase --> System: Return Component Details
System -> RepositoryManager: Display Component Details

RepositoryManager -> System: Add Pertinent Name
System -> RepositoryDatabase: Update Component Name
RepositoryDatabase --> System: Confirmation
System -> RepositoryManager: Display Update Confirmation

deactivate RepositoryManager

@enduml
"
29,"As a repository manager, I want to indicate any name that is pertinent to the component.","@startuml 
repository_manager->System:indicate name component 
@enduml"
30,"As a library member, I want to keep track of books from an app so that I can know if it is taken or in the library before I go.","@startuml
actor LibraryMember
actor System
database LibraryCatalog

LibraryMember -> System: Log In
System -> System: Authenticate LibraryMember
System -> LibraryMember: Provide Access

activate LibraryMember

LibraryMember -> System: Search for Book
System -> LibraryCatalog: Retrieve Book Information
LibraryCatalog --> System: Return Book Information
System -> LibraryMember: Display Book Information

LibraryMember -> System: Check Book Availability
System -> LibraryCatalog: Retrieve Availability Status
LibraryCatalog --> System: Return Availability Status
System -> LibraryMember: Display Availability Status

deactivate LibraryMember

@enduml
"
31,"As a library member, I want to keep track of books from an app so that I can know if it is taken or in the library before I go.","@startuml 
library_member->book:keep track app 
library_member->System:know 
@enduml"
32,"As a restaurant employee, I want to receive a notification message when the customer places an order.","@startuml
actor Customer
actor RestaurantEmployee
actor System

Customer -> System: Place Order
System -> RestaurantEmployee: Notify New Order

activate RestaurantEmployee

RestaurantEmployee -> System: Acknowledge Notification
System -> Customer: Order Acknowledgment

deactivate RestaurantEmployee

@enduml
"
33,"As a restaurant employee, I want to receive a notification message when the customer places an order.","@startuml 
restaurant_employee->System:receive notification_message order 
@enduml"
34,"As a student, I want to see the books that are currently unavailable so that I can arrange my reading plan.","@startuml
actor Student
actor System
database LibraryCatalog

Student -> System: Log In
System -> System: Authenticate Student
System -> Student: Provide Access

activate Student

Student -> System: View Unavailable Books
System -> LibraryCatalog: Retrieve Unavailable Books
LibraryCatalog --> System: Return Unavailable Books
System -> Student: Display Unavailable Books

deactivate Student

@enduml
"
35,"As a student, I want to see the books that are currently unavailable so that I can arrange my reading plan.","@startuml 
student->System:see books 
student->System:arrange reading_plan 
@enduml"
36,"As an asset manager, I want to know what the intellectual value of the asset is to the institution at the time of deposit, so that I obtain guidance in the evaluation of it for current value for the institution.","@startuml 
asset_manager->time:know what institution 
asset_manager->current_value:obtain guidance evaluation 
@enduml"
37,"As a DAMS manager, I want to know the agent(s) responsible for carrying out an event.","@startuml
actor DAMSManager
actor System
database EventLog

DAMSManager -> System: Log In
System -> System: Authenticate DAMSManager
System -> DAMSManager: Provide Access

activate DAMSManager

DAMSManager -> System: Search for Event
System -> EventLog: Retrieve Event Details
EventLog --> System: Return Event Details
System -> DAMSManager: Display Event Details

deactivate DAMSManager

@enduml
"
38,"As a DAMS manager, I want to know the agent(s) responsible for carrying out an event.","@startuml 
dam_manager->System:know responsible event 
@enduml"
39,"As a Developer I want to quickly access Broker application data, so that I can investigate issues.","@startuml
actor Developer
actor System
database BrokerApplicationDatabase

Developer -> System: Log In
System -> System: Authenticate Developer
System -> Developer: Provide Access

activate Developer

Developer -> System: Search for Data
System -> BrokerApplicationDatabase: Retrieve Data
BrokerApplicationDatabase --> System: Return Data
System -> Developer: Display Data

deactivate Developer

@enduml
"
40,"As a Developer I want to quickly access Broker application data, so that I can investigate issues.","@startuml 
developer->System:access broker_application_datum 
developer->System:investigate issues 
@enduml"
41,"As an agency user, I want to submit my data elements surrounded by quotation marks, so that Excel won't strip off leading and trailing zeroes.","@startuml
actor AgencyUser
actor Excel

AgencyUser -> Excel: Open Data File
Excel -> Excel: Format Data Elements\nwith Quotation Marks
Excel --> AgencyUser: Data File Ready

@enduml
"
42,"As an agency user, I want to submit my data elements surrounded by quotation marks, so that Excel won't strip off leading and trailing zeroes.","@startuml 
agency_user->System:submit datum_element 
agency_user->System:won strip zeroes 
@enduml"
43,"As a developer, I want to have the ALFRED API to reduce the work to achieve my goals.","@startuml 
developer->System:have alfred_api work goals 
@enduml"
44,"As an admin, I want to handle all users' activities, so that I can manage more efficiently.","@startuml
actor Admin
actor System
database UserActivityLog

Admin -> System: Log In
System -> System: Authenticate Admin
System -> Admin: Provide Access

activate Admin

Admin -> System: View Users' Activities
System -> UserActivityLog: Retrieve User Activities
UserActivityLog --> System: Return User Activities
System -> Admin: Display User Activities

deactivate Admin

@enduml
"
45,"As an admin, I want to handle all users' activities, so that I can manage more efficiently.","@startuml 
admin->System:handle user_activity 
admin->System:manage 
@enduml"
46,"As a developer, I want to upgrade to Fedora 4 and migrate our applications and data.","@startuml 
developer->System:upgrade fedora applications 
@enduml"
47,"As an employee, I want to access the route planning system during work, so that I can be guided through the neighbourhood.","@startuml
actor Employee
actor System
database RoutePlanningDatabase

Employee -> System: Log In
System -> System: Authenticate Employee
System -> Employee: Provide Access

activate Employee

Employee -> System: Request Route
System -> RoutePlanningDatabase: Retrieve Route Details
RoutePlanningDatabase --> System: Return Route Details
System -> Employee: Display Route Details

deactivate Employee

@enduml
"
48,"As an employee, I want to access the route planning system during work, so that I can be guided through the neighbourhood.","@startuml 
employee->System:access _system work 
employee->System:guided neighbourhood 
@enduml"
49,"As a Zooniverse admin, I want to detect important features such as areas of flooding, damage, temporary shelters, blocked roads etc in the satellite images.","@startuml
actor ZooniverseAdmin
actor System
database ImageDatabase

ZooniverseAdmin -> System: Log In
System -> System: Authenticate ZooniverseAdmin
System -> ZooniverseAdmin: Provide Access

activate ZooniverseAdmin

ZooniverseAdmin -> System: Upload Satellite Image
System -> System: Process Image
System -> ImageDatabase: Store Processed Image
ImageDatabase --> System: Image Processing Complete
System -> ZooniverseAdmin: Display Processed Image

deactivate ZooniverseAdmin

@enduml
"
50,"As a Zooniverse admin, I want to detect important features such as areas of flooding, damage, temporary shelters, blocked roads etc in the satellite images.","@startuml 
zooniverse_admin->area:detect important_feature 
@enduml"
51,"As a librarian, I want to delete books from the library.","@startuml
actor Librarian
actor System
database LibraryCatalog

Librarian -> System: Log In
System -> System: Authenticate Librarian
System -> Librarian: Provide Access

activate Librarian

Librarian -> System: Search for Book to Delete
System -> LibraryCatalog: Retrieve Book Information
LibraryCatalog --> System: Return Book Information
System -> Librarian: Display Book Information

Librarian -> System: Delete Book
System -> LibraryCatalog: Remove Book Record
LibraryCatalog --> System: Confirmation
System -> Librarian: Display Deletion Confirmation

deactivate Librarian

@enduml
"
52,"As a librarian, I want to delete books from the library.","@startuml 
librarian->System:delete books library 
@enduml"
53,"As an OlderPerson, I want to be able to see my training Performance.","@startuml
actor OlderPerson
actor System
database TrainingDatabase

OlderPerson -> System: Log In
System -> System: Authenticate OlderPerson
System -> OlderPerson: Provide Access

activate OlderPerson

OlderPerson -> System: View Training Performance
System -> TrainingDatabase: Retrieve Performance Data
TrainingDatabase --> System: Return Performance Data
System -> OlderPerson: Display Performance Data

deactivate OlderPerson

@enduml
"
54,"As an OlderPerson, I want to be able to see my training Performance.","@startuml 
olderperson->System:able _performance 
@enduml"
55,"As an Agency user, I want to be able to include a large number of flexfields without performance impact.","@startuml
actor AgencyUser
actor System
database FlexfieldsDatabase

AgencyUser -> System: Log In
System -> System: Authenticate AgencyUser
System -> AgencyUser: Provide Access

activate AgencyUser

AgencyUser -> System: Include Flexfields
System -> FlexfieldsDatabase: Retrieve Flexfields Configuration
FlexfieldsDatabase --> System: Return Flexfields Configuration
System -> System: Process Flexfields
System -> System: Apply Optimizations
System -> AgencyUser: Display Flexfields

deactivate AgencyUser

@enduml
"
56,"As an Agency user, I want to be able to include a large number of flexfields without performance impact.","@startuml 
agency_user->flexfield:able large_number performance_impact 
@enduml"
57,"As a moderator, I want to enter the agreed-upon estimate, so that we can move on to the next item when we agree.","@startuml
actor Moderator
actor System

Moderator -> System: Enter Agreed-Upon Estimate
System -> System: Record Estimate
System --> Moderator: Confirmation Message

@enduml
"
58,"As a moderator, I want to enter the agreed-upon estimate, so that we can move on to the next item when we agree.","@startuml 
moderator->System:enter estimate 
moderator->System:move next_item 
@enduml"
59,"As a researcher, I want to record research publications in the institutional repository or CRIS with DMP records, so that I can generate reports of research output resulting from a project.","@startuml
actor Researcher
actor System
database Repository

Researcher -> System: Log In
System -> System: Authenticate Researcher
System -> Researcher: Provide Access

activate Researcher

Researcher -> System: Record Research Publication
System -> System: Validate and Process Data
System -> Repository: Save Publication Record
Repository --> System: Confirmation
System -> Researcher: Display Confirmation

Researcher -> System: Record DMP for Project
System -> System: Validate and Process DMP
System -> Repository: Link DMP to Project
Repository --> System: Confirmation
System -> Researcher: Display Confirmation

deactivate Researcher

@enduml
"
60,"As a researcher, I want to record research publications in the institutional repository or CRIS with DMP records, so that I can generate reports of research output resulting from a project.","@startuml 
researcher->institutional_repository:research_publication 
researcher->research_output:generate reports project 
@enduml"
61,"As a attendee, I want to get detailed directions to the summit venue, so that I can get to the summit easily on the day of the event.","@startuml
actor Attendee
actor System
database MapDatabase

Attendee -> System: Request Directions to Summit Venue
System -> MapDatabase: Retrieve Venue Details and Map
MapDatabase --> System: Return Venue Details and Map
System -> Attendee: Display Venue Details and Map

@enduml
"
62,"As a attendee, I want to get detailed directions to the summit venue, so that I can get to the summit easily on the day of the event.","@startuml 
attendee->System:get detailed_direction summit_venue 
attendee->event:get summit day 
@enduml"
63,"As a sponsor, I want to post a job, so that I can hire top-tier Drupal talent.","@startuml
actor Sponsor
actor System
database JobDatabase

Sponsor -> System: Log In
System -> System: Authenticate Sponsor
System -> Sponsor: Provide Access

activate Sponsor

Sponsor -> System: Post Job
System -> System: Validate Job Posting
System -> JobDatabase: Save Job Posting
JobDatabase --> System: Confirmation
System -> Sponsor: Display Confirmation

deactivate Sponsor

@enduml
"
64,"As a sponsor, I want to post a job, so that I can hire top-tier Drupal talent.","@startuml 
sponsor->System:post job 
sponsor->System:hire drupal_talent 
@enduml"
65,"As a moderator, I want to export a transcript of a game as a CSV file, so that I can further process the stories and estimates.","@startuml
actor Moderator
actor System
database GameTranscript

Moderator -> System: Log In
System -> System: Authenticate Moderator
System -> Moderator: Provide Access

activate Moderator

Moderator -> System: Export Game Transcript as CSV
System -> GameTranscript: Retrieve Game Data
GameTranscript --> System: Return Game Data
System -> System: Convert Data to CSV
System -> Moderator: Provide CSV File for Download

deactivate Moderator

@enduml
"
66,"As a moderator, I want to export a transcript of a game as a CSV file, so that I can further process the stories and estimates.","@startuml 
moderator->game:export transcript csv_file 
moderator->System:process stories 
@enduml"
67,"As an archivist, I want to link electronic versions of researchers' publications to citations, so that I can share them with other researchers.","@startuml
actor Archivist
actor System
database CitationDatabase
database ElectronicVersionsDatabase

Archivist -> System: Log In
System -> System: Authenticate Archivist
System -> Archivist: Provide Access

activate Archivist

Archivist -> System: Link Electronic Version to Citation
System -> CitationDatabase: Retrieve Citation Details
CitationDatabase --> System: Return Citation Details
System -> ElectronicVersionsDatabase: Retrieve Electronic Version
ElectronicVersionsDatabase --> System: Return Electronic Version
System -> System: Associate Electronic Version with Citation
System -> Archivist: Display Linking Confirmation

deactivate Archivist

@enduml
"
68,"As an archivist, I want to link electronic versions of researchers' publications to citations, so that I can share them with other researchers.","@startuml 
archivist->researcher_publication:link electronic_version citations 
archivist->System:share them other_researcher 
@enduml"
69,"As a repoadmin, I want to have Symplectic Elements to communicate","@startuml
actor RepoAdmin
actor SymplecticElements
database ResearchInformation

RepoAdmin -> SymplecticElements: Log In
SymplecticElements -> SymplecticElements: Authenticate RepoAdmin
SymplecticElements -> RepoAdmin: Provide Access

activate RepoAdmin

RepoAdmin -> SymplecticElements: Update Research Information
SymplecticElements -> SymplecticElements: Validate and Process Data
SymplecticElements -> ResearchInformation: Update Database
ResearchInformation --> SymplecticElements: Confirmation
SymplecticElements -> RepoAdmin: Display Update Confirmation

deactivate RepoAdmin

@enduml
"
70,"As a repoadmin, I want to have Symplectic Elements to communicate","@startuml 
repoadmin->System:have symplectic_element 
@enduml"
71,"As a researcher, I want the DMP to prepopulate information that I have already entered in other institutional systems, so that I do not have to re-enter information ensuring the DMP contains accurate and standardized information.","@startuml
actor Researcher
actor DMPSystem
database InstitutionalSystems

Researcher -> DMPSystem: Log In
DMPSystem -> DMPSystem: Authenticate Researcher
DMPSystem -> Researcher: Provide Access

activate Researcher

Researcher -> DMPSystem: Start New DMP
DMPSystem -> InstitutionalSystems: Retrieve Existing Information
InstitutionalSystems --> DMPSystem: Return Information
DMPSystem -> Researcher: Prepopulate DMP
Researcher -> DMPSystem: Complete DMP

deactivate Researcher

@enduml
"
72,"As a researcher, I want the DMP to prepopulate information that I have already entered in other institutional systems, so that I do not have to re-enter information ensuring the DMP contains accurate and standardized information.","@startuml 
researcher->System:dmp information that institutional_system 
researcher->System:have information information 
@enduml"
73,"As an OlderPerson, I want to have ALFRED to set limits in the games duration as I get bored easily.","@startuml
actor OlderPerson
actor ALFRED
database GameSettings

OlderPerson -> ALFRED: Request Game Duration Limit
ALFRED -> ALFRED: Validate Request
ALFRED -> GameSettings: Retrieve Current Game Settings
GameSettings --> ALFRED: Return Current Game Settings
ALFRED -> ALFRED: Set Game Duration Limit
ALFRED -> GameSettings: Update Game Duration Limit
GameSettings --> ALFRED: Confirmation

@enduml
"
74,"As an OlderPerson, I want to have ALFRED to set limits in the games duration as I get bored easily.","@startuml 
olderperson->System:alfred limits game_duration 
@enduml"
75,"As a DAMS manager, I want to indicate to preservation managers aspects of a master file useful for monitoring its integrity, and impending obsolescence, including file size, creation date, file format and format version.","@startuml
actor DAMSManager
actor PreservationManagers
database MasterFile

DAMSManager -> PreservationManagers: Notify Aspects of Master File
PreservationManagers -> DAMSManager: Acknowledge Notification

DAMSManager -> MasterFile: Retrieve Master File Information
MasterFile --> DAMSManager: Return Master File Information
DAMSManager -> PreservationManagers: Provide Master File Information

@enduml
"
76,"As a DAMS manager, I want to indicate to preservation managers aspects of a master file useful for monitoring its integrity, and impending obsolescence, including file size, creation date, file format and format version.","@startuml 
dam_manager->file_size_creation:indicate preservation integrity 
@enduml"
77,"As a manager, I want to save the menu each month.","@startuml
actor Manager
actor System
database MonthlyMenus

Manager -> System: Log In
System -> System: Authenticate Manager
System -> Manager: Provide Access

activate Manager

Manager -> System: Save Monthly Menu
System -> MonthlyMenus: Retrieve Current Menu
MonthlyMenus --> System: Return Current Menu
System -> MonthlyMenus: Save Menu for Current Month
MonthlyMenus --> System: Confirmation
System -> Manager: Display Save Confirmation

deactivate Manager

@enduml
"
78,"As a manager, I want to save the menu each month.","@startuml 
manager->System:save menu 
@enduml"
79,"As an Archivist, I want to upload an EAD for import from within the frontend application.","@startuml
actor Archivist
actor FrontendApplication
database ImportQueue

Archivist -> FrontendApplication: Log In
FrontendApplication -> FrontendApplication: Authenticate Archivist
FrontendApplication -> Archivist: Provide Access

activate Archivist

Archivist -> FrontendApplication: Upload EAD for Import
FrontendApplication -> FrontendApplication: Validate EAD Format
FrontendApplication -> ImportQueue: Enqueue EAD for Import
ImportQueue --> FrontendApplication: Confirmation
FrontendApplication -> Archivist: Display Import Confirmation

deactivate Archivist

@enduml
"
80,"As an Archivist, I want to upload an EAD for import from within the frontend application.","@startuml 
archivist->import:upload ead frontend_application 
@enduml"
81,"As a PI, I want to plan what kind of data I want to record/store, so that I can ensure it will possible to store it.","@startuml
actor PI
actor System
database DataPlanning

PI -> System: Log In
System -> System: Authenticate PI
System -> PI: Provide Access

activate PI

PI -> System: Plan Data Recording/Storage
System -> System: Record PI's Data Planning
System -> DataPlanning: Save Data Planning Details
DataPlanning --> System: Confirmation
System -> PI: Display Planning Confirmation

deactivate PI

@enduml
"
82,"As a PI, I want to plan what kind of data I want to record/store, so that I can ensure it will possible to store it.","@startuml 
p->datum:plan kind store 
p->System:ensure it 
@enduml"
83,"As a member, I want to remove reservations so that I can cancel my reservation anytime I want.","@startuml
actor Member
actor System
database ReservationDatabase

Member -> System: Log In
System -> System: Authenticate Member
System -> Member: Provide Access

activate Member

Member -> System: Remove Reservation
System -> ReservationDatabase: Retrieve Member's Reservations
ReservationDatabase --> System: Return Reservations
System -> Member: Display Current Reservations

deactivate Member

@enduml
"
84,"As a member, I want to remove reservations so that I can cancel my reservation anytime I want.","@startuml 
member->System:remove reservations 
member->System:cancel reservation_anytime 
@enduml"
85,"As a librarian, I want to update pages for book information.","@startuml
actor Librarian
actor System
database BookDatabase

Librarian -> System: Log In
System -> System: Authenticate Librarian
System -> Librarian: Provide Access

activate Librarian

Librarian -> System: Update Pages for Book
System -> BookDatabase: Retrieve Book Information
BookDatabase --> System: Return Book Information
System -> Librarian: Display Current Book Information

Librarian -> System: Modify Page Information
System -> BookDatabase: Update Page Information
BookDatabase --> System: Confirmation
System -> Librarian: Display Update Confirmation

deactivate Librarian

@enduml
"
86,"As a librarian, I want to update pages for book information.","@startuml 
librarian->book_information:update pages 
@enduml"
87,"As a user, I want frontend changes for managing enum lists.","@startuml
actor User
actor Frontend
database EnumListConfiguration

User -> Frontend: Request Enum List Management Changes
Frontend -> Frontend: Authenticate User
Frontend -> User: Provide Access

activate User

User -> Frontend: Specify Enum List Changes
Frontend -> Frontend: Validate User Input
Frontend -> EnumListConfiguration: Retrieve Current Configuration
EnumListConfiguration --> Frontend: Return Current Configuration
Frontend -> Frontend: Apply User Changes
Frontend -> EnumListConfiguration: Update Configuration
EnumListConfiguration --> Frontend: Confirmation
Frontend -> User: Display Confirmation

deactivate User

@enduml
"
88,"As a user, I want frontend changes for managing enum lists.","@startuml 
user->System:ontend_change enum_list 
@enduml"
89,"As an admin, I want to automatically validated the ingested contents for copyright infringement.","@startuml
actor Admin
actor System
database IngestedContent

Admin -> System: Log In
System -> System: Authenticate Admin
System -> Admin: Provide Access

activate Admin

Admin -> System: Initiate Copyright Validation
System -> IngestedContent: Retrieve Ingested Content
IngestedContent --> System: Return Ingested Content
System -> System: Validate for Copyright Infringement
System -> Admin: Display Validation Results

deactivate Admin

@enduml
"
90,"As an admin, I want to automatically validated the ingested contents for copyright infringement.","@startuml 
admin->copyright_infringement:validated contents 
@enduml"
91,"As a manager, I want to delete library members.","@startuml
actor Manager
actor System
database LibraryMembersDatabase

Manager -> System: Log In
System -> System: Authenticate Manager
System -> Manager: Provide Access

activate Manager

Manager -> System: Delete Library Member
System -> LibraryMembersDatabase: Retrieve Member Information
LibraryMembersDatabase --> System: Return Member Information
System -> LibraryMembersDatabase: Delete Member Record
LibraryMembersDatabase --> System: Confirmation
System -> Manager: Display Deletion Confirmation

deactivate Manager

@enduml
"
92,"As a manager, I want to delete library members.","@startuml 
manager->System:delete library_member 
@enduml"
93,"As a user, I want to link my email account to my profile, so that I can get a temporary password in case I forget my own one.","@startuml
actor User
actor System
database UserProfile

User -> System: Log In
System -> System: Authenticate User
System -> User: Provide Access

activate User

User -> System: Link Email Account
System -> User: Provide Email Linking Interface
User -> System: Enter Email Credentials
System -> UserProfile: Link Email to User Profile
UserProfile --> System: Confirmation
System -> User: Display Linking Confirmation

deactivate User

@enduml
"
94,"As a user, I want to link my email account to my profile, so that I can get a temporary password in case I forget my own one.","@startuml 
user->System:link email_account profile 
user->System:get _password own_one 
@enduml"
